GEOID,name,state,total_population,median_age,pct_white,pct_black,pct_hispanic,pct_asian,pct_bachelors_or_higher,median_household_income,pct_below_poverty,pct_owner_occupied,median_rent,total_housing_units,land_area
10001,Kent County,Delaware,185043,38.5,57.6,26.4,7.9,2.2,26.7,72872,11.3,71,1285,74997,586.061
10003,New Castle County,Delaware,573030,39.2,53.5,24.6,11.4,5.9,39.2,89901,10.2,68.5,1379,235057,426.337
10005,Sussex County,Delaware,247799,51.4,72.8,10.2,11.2,1.2,32.6,78162,11.5,81.3,1221,147904,936.146
11001,District of Columbia,District of Columbia,672079,34.9,36.6,42.5,11.6,4,63.6,106287,14.5,41.1,1900,356101,61.126
12001,Alachua County,Florida,281751,32.2,58.3,19,12.2,5.8,47.7,59659,19.7,54.1,1255,125702,875.645
12003,Baker County,Florida,28186,38.1,77.7,11.5,3.7,0.8,15.3,70833,13.1,83.2,1011,10013,585.23
12005,Bay County,Florida,181368,41.4,73.7,9.8,8.4,1.9,28,70188,11.7,68.3,1424,106209,758.598
12007,Bradford County,Florida,27888,40.5,72.6,17.3,4.9,0.9,15,59740,19.1,70.9,838,10826,293.966
12009,Brevard County,Florida,620533,46.8,71.3,9.2,11.7,2.4,33.5,75817,9.9,76.9,1456,294461,1014.97
12011,Broward County,Florida,1946127,41.3,31.9,27.6,31.9,3.6,35.8,74534,12.2,63.3,1804,863128,1202.909
12013,Calhoun County,Florida,13593,41.8,76,11.6,5,0.7,13.1,46901,21.2,76.9,680,5663,567.336
12015,Charlotte County,Florida,195083,60,82.4,5.1,7.8,1.3,25.3,66154,9.6,83.2,1289,114821,681.118
12017,Citrus County,Florida,158693,56.9,85.7,2.1,6.5,1.4,20.4,55355,15.5,84.8,1069,83417,581.912
12019,Clay County,Florida,223436,40.2,69.1,11.1,11,2.9,28.7,86094,9.1,76.2,1464,87165,604.598
12021,Collier County,Florida,387681,53.1,62.4,6.4,27.5,1.5,39.5,86173,10.5,76,1752,234732,1996.848
12023,Columbia County,Florida,70755,40.7,70.7,16.2,7.4,0.9,16.3,55070,17,70.9,915,30066,797.377
12027,DeSoto County,Florida,34719,42.8,55.5,12.7,29.8,0,11,50868,23.1,71.3,910,15713,636.695
12029,Dixie County,Florida,16952,45.8,83.1,6.3,4.5,0.4,8.1,47655,19.3,83.8,792,9365,705.035
12031,Duval County,Florida,1007189,36.7,49.3,28.5,11.8,4.8,33.1,68447,14.6,58.1,1385,445946,762.617
12033,Escambia County,Florida,323275,38.1,62.2,21,6.6,2.8,28.9,65715,14.5,64,1234,147678,656.994
12035,Flagler County,Florida,121710,52.6,73.3,9.2,11.2,2.2,30.4,72923,9.4,81.5,1687,58520,486.191
12037,Franklin County,Florida,12418,49.2,78.9,10.7,5.4,0.3,25.3,62734,17.3,77.2,1044,8476,544.999
12039,Gadsden County,Florida,43642,42,31.5,54.6,11.9,0.1,20.1,46047,27.7,72.9,792,19100,516.375
12041,Gilchrist County,Florida,18494,42.7,85.9,3,7.5,0.2,14.5,61070,11.2,83.7,855,7697,349.695
12043,Glades County,Florida,12324,45.8,55.1,14.7,25.1,0.3,12.7,38905,21.2,79.7,927,6612,806.822
12045,Gulf County,Florida,14772,47.3,77.3,13.8,4.4,0.5,24.5,67361,11.6,80.3,1161,9142,553.461
12047,Hamilton County,Florida,13445,40.6,55.2,30.8,11,0.5,11.2,47696,27.3,74.9,819,5638,514.295
12049,Hardee County,Florida,25508,35.9,47.1,6.4,42,1.1,12.3,54231,24.3,71.4,954,9884,637.569
12051,Hendry County,Florida,40798,35.7,29.1,10.6,56.6,1.1,10.7,53044,21.6,72.4,958,15639,1155.95
12053,Hernando County,Florida,201512,48.1,73.4,4.7,16.1,1.4,20.4,63193,12,81.8,1209,90991,472.966
12055,Highlands County,Florida,103808,54.2,64.2,9.2,21.5,1.5,19.7,55581,15.4,78.9,980,58086,1017.66
12057,Hillsborough County,Florida,1489634,37.8,45.8,15.6,29.7,4.3,37.2,75011,13.2,61.1,1543,618220,1022.502
12059,Holmes County,Florida,19626,42.4,84.4,6.6,3.6,0.4,12.1,48236,14.4,76.7,823,8642,478.857
12061,Indian River County,Florida,163856,55,73.1,8,13.4,1.4,33.4,71049,11.4,79.3,1284,85093,502.527
12063,Jackson County,Florida,47652,42.9,64.5,25.3,5.1,0.6,14.6,47327,18.8,74.5,846,20061,918.23
12065,Jefferson County,Florida,14713,47,60.1,30,4.8,0.7,18.8,56984,20.3,75.1,790,6815,598.079
