geoid,county_name,state_abbr,year,industry_code,industry_name,annual_avg_employment,total_annual_wages,avg_weekly_wage,num_establishments
10001,Kent County,DE,2024,31-33,Manufacturing,7070,515305543,1402,361
10003,New Castle County,DE,2024,31-33,Manufacturing,5001,336416033,1294,220
10005,Sussex County,DE,2024,31-33,Manufacturing,3287,202654364,1186,122
11001,District of Columbia,DC,2024,31-33,Manufacturing,4852,313705370,1243,198
12001,Alachua County,FL,2024,31-33,Manufacturing,1675,94509363,1085,51
12003,Baker County,FL,2024,31-33,Manufacturing,818,41560157,977,19
12005,Bay County,FL,2024,31-33,Manufacturing,256,11568787,869,4
12007,Bradford County,FL,2024,31-33,Manufacturing,8331,662931929,1530,495
12009,Brevard County,FL,2024,31-33,Manufacturing,6254,462531140,1422,328
12011,Broward County,FL,2024,31-33,Manufacturing,4474,305758470,1314,203
12013,Calhoun County,FL,2024,31-33,Manufacturing,2989,187484200,1206,115
12015,Charlotte County,FL,2024,31-33,Manufacturing,1800,102794870,1098,56
12017,Citrus County,FL,2024,31-33,Manufacturing,906,46651570,990,22
12019,Clay County,FL,2024,31-33,Manufacturing,309,14175479,882,5
12023,Columbia County,FL,2024,31-33,Manufacturing,6492,484578529,1435,346
12027,DeSoto County,FL,2024,31-33,Manufacturing,3154,199993516,1219,124
12029,Dixie County,FL,2024,31-33,Manufacturing,1929,111482740,1111,62
12031,Duval County,FL,2024,31-33,Manufacturing,999,52124383,1003,25
12033,Escambia County,FL,2024,31-33,Manufacturing,366,17040995,895,7
12035,Flagler County,FL,2024,31-33,Manufacturing,28,1146422,787,1
12037,Franklin County,FL,2024,31-33,Manufacturing,6733,507177846,1449,365
12039,Gadsden County,FL,2024,31-33,Manufacturing,4880,340188259,1341,230
12041,Gilchrist County,FL,2024,31-33,Manufacturing,3324,213049274,1233,133
12043,Glades County,FL,2024,31-33,Manufacturing,2062,120581189,1125,68
12045,Gulf County,FL,2024,31-33,Manufacturing,1097,57988869,1017,29
12047,Hamilton County,FL,2024,31-33,Manufacturing,427,20173554,909,8
12049,Hardee County,FL,2024,31-33,Manufacturing,53,2206305,801,1
12051,Hendry County,FL,2024,31-33,Manufacturing,6979,530487277,1462,384
12053,Hernando County,FL,2024,31-33,Manufacturing,5091,358383337,1354,244
12055,Highlands County,FL,2024,31-33,Manufacturing,3498,226596967,1246,143
12057,Hillsborough County,FL,2024,31-33,Manufacturing,2200,130157598,1138,75
12059,Holmes County,FL,2024,31-33,Manufacturing,1199,64201752,1030,32
12061,Indian River County,FL,2024,31-33,Manufacturing,493,23629302,922,10
12063,Jackson County,FL,2024,31-33,Manufacturing,83,3511992,814,1
12065,Jefferson County,FL,2024,31-33,Manufacturing,7230,554517094,1475,404
12067,Lafayette County,FL,2024,31-33,Manufacturing,5305,377080624,1367,259
12069,Lake County,FL,2024,31-33,Manufacturing,3676,240644811,1259,154
12071,Lee County,FL,2024,31-33,Manufacturing,2343,140222236,1151,82
12073,Leon County,FL,2024,31-33,Manufacturing,1305,70771250,1043,36
12075,Levy County,FL,2024,31-33,Manufacturing,563,27369896,935,12
12077,Liberty County,FL,2024,31-33,Manufacturing,117,5030756,827,2
12079,Madison County,FL,2024,31-33,Manufacturing,7485,579200187,1488,425
12081,Manatee County,FL,2024,31-33,Manufacturing,5524,396429815,1380,275
12083,Marion County,FL,2024,31-33,Manufacturing,3859,255267174,1272,165
12085,Martin County,FL,2024,31-33,Manufacturing,2489,150664313,1164,89
12086,Miami-Dade County,FL,2024,31-33,Manufacturing,1916,110598868,1110,62
12087,Monroe County,FL,2024,31-33,Manufacturing,1416,77760495,1056,41
12089,Nassau County,FL,2024,31-33,Manufacturing,638,31452852,948,14
12091,Okaloosa County,FL,2024,31-33,Manufacturing,156,6814498,840,2
12093,Okeechobee County,FL,2024,31-33,Manufacturing,7744,604544773,1501,446
12095,Orange County,FL,2024,31-33,Manufacturing,5747,416368729,1393,291
12097,Osceola County,FL,2024,31-33,Manufacturing,4046,270407492,1285,176
12099,Palm Beach County,FL,2024,31-33,Manufacturing,2641,161673641,1177,96
12101,Pasco County,FL,2024,31-33,Manufacturing,1531,85124158,1069,45
12103,Pinellas County,FL,2024,31-33,Manufacturing,717,35838458,961,16
12105,Polk County,FL,2024,31-33,Manufacturing,199,8829120,853,3
12107,Putnam County,FL,2024,31-33,Manufacturing,8008,630637820,1514,468
12109,St. Johns County,FL,2024,31-33,Manufacturing,5975,436978720,1406,307
12111,St. Lucie County,FL,2024,31-33,Manufacturing,4238,286141500,1298,188
12113,Santa Rosa County,FL,2024,31-33,Manufacturing,2796,173076841,1190,105
12115,Sarasota County,FL,2024,31-33,Manufacturing,1650,92870457,1082,50
12117,Seminole County,FL,2024,31-33,Manufacturing,800,40534930,974,19
12119,Sumter County,FL,2024,31-33,Manufacturing,246,11082841,866,4
12121,Suwannee County,FL,2024,31-33,Manufacturing,8276,657410164,1528,491
12123,Taylor County,FL,2024,31-33,Manufacturing,6207,458196239,1420,324
12125,Union County,FL,2024,31-33,Manufacturing,4434,302411269,1312,201
12127,Volusia County,FL,2024,31-33,Manufacturing,2956,185005249,1204,113
12129,Wakulla County,FL,2024,31-33,Manufacturing,1774,101064579,1096,55
12131,Walton County,FL,2024,31-33,Manufacturing,888,45601840,988,21
12133,Washington County,FL,2024,31-33,Manufacturing,298,13629614,880,5
13001,Appling County,GA,2024,31-33,Manufacturing,623,30023705,927,13
13003,Atkinson County,GA,2024,31-33,Manufacturing,115,4896203,819,2
13005,Bacon County,GA,2024,31-33,Manufacturing,8792,676625440,1480,494
13007,Baker County,GA,2024,31-33,Manufacturing,6466,461302252,1372,318
13009,Baldwin County,GA,2024,31-33,Manufacturing,4495,295439683,1264,189
13011,Banks County,GA,2024,31-33,Manufacturing,2878,172996089,1156,101
13013,Barrow County,GA,2024,31-33,Manufacturing,1616,88061280,1048,45
13015,Bartow County,GA,2024,31-33,Manufacturing,710,34702602,940,15
13017,Ben Hill County,GA,2024,31-33,Manufacturing,158,6835150,832,2
13019,Berrien County,GA,2024,31-33,Manufacturing,9100,706560204,1493,519
13021,Bibb County,GA,2024,31-33,Manufacturing,6731,484817209,1385,337
13023,Bleckley County,GA,2024,31-33,Manufacturing,4716,313194526,1277,203
13025,Brantley County,GA,2024,31-33,Manufacturing,3056,185788268,1169,110
13027,Brooks County,GA,2024,31-33,Manufacturing,1751,96616901,1061,51
13029,Bryan County,GA,2024,31-33,Manufacturing,801,39698894,953,18
13031,Bulloch County,GA,2024,31-33,Manufacturing,206,9052712,845,3
13033,Burke County,GA,2024,31-33,Manufacturing,9413,737308425,1506,545
13035,Butts County,GA,2024,31-33,Manufacturing,7001,509058650,1398,356
13037,Calhoun County,GA,2024,31-33,Manufacturing,4943,331654609,1290,217
13039,Camden County,GA,2024,31-33,Manufacturing,3240,199193098,1182,119
13043,Candler County,GA,2024,31-33,Manufacturing,898,45121290,966,20
13045,Carroll County,GA,2024,31-33,Manufacturing,259,11559160,858,4
13047,Catoosa County,GA,2024,31-33,Manufacturing,9732,768959387,1519,572
13049,Charlton County,GA,2024,31-33,Manufacturing,7276,534036847,1411,377
13051,Chatham County,GA,2024,31-33,Manufacturing,5175,350764476,1303,231
13053,Chattahoochee County,GA,2024,31-33,Manufacturing,3428,213098577,1195,129
13055,Chattooga County,GA,2024,31-33,Manufacturing,2037,115187562,1087,63
13057,Cherokee County,GA,2024,31-33,Manufacturing,1000,50931187,979,24
13059,Clarke County,GA,2024,31-33,Manufacturing,318,14410082,871,5
13061,Clay County,GA,2024,31-33,Manufacturing,10056,801445717,1533,600
13063,Clayton County,GA,2024,31-33,Manufacturing,7556,559762071,1425,397
13065,Clinch County,GA,2024,31-33,Manufacturing,5412,370534399,1317,247
13067,Cobb County,GA,2024,31-33,Manufacturing,3622,227638619,1209,140
13069,Coffee County,GA,2024,31-33,Manufacturing,2187,125167282,1101,69
13071,Colquitt County,GA,2024,31-33,Manufacturing,1107,57138854,993,27
13073,Columbia County,GA,2024,31-33,Manufacturing,382,17571803,885,7
13075,Cook County,GA,2024,31-33,Manufacturing,12,484596,777,1
13077,Coweta County,GA,2024,31-33,Manufacturing,7842,586319362,1438,419
13079,Crawford County,GA,2024,31-33,Manufacturing,5654,390974649,1330,263
13081,Crisp County,GA,2024,31-33,Manufacturing,3821,242762017,1222,151
13083,Dade County,GA,2024,31-33,Manufacturing,2343,135699933,1114,76
13085,Dawson County,GA,2024,31-33,Manufacturing,1220,63806865,1006,31
13087,Decatur County,GA,2024,31-33,Manufacturing,452,21101279,898,8
13089,DeKalb County,GA,2024,31-33,Manufacturing,38,1560576,790,1
13091,Dodge County,GA,2024,31-33,Manufacturing,8133,613645592,1451,442
13093,Dooly County,GA,2024,31-33,Manufacturing,5902,412165332,1343,279
13095,Dougherty County,GA,2024,31-33,Manufacturing,4026,258543260,1235,162
13097,Douglas County,GA,2024,31-33,Manufacturing,2504,146739239,1127,83
13099,Early County,GA,2024,31-33,Manufacturing,1338,70894559,1019,35
13101,Echols County,GA,2024,31-33,Manufacturing,527,24963467,911,10
13103,Effingham County,GA,2024,31-33,Manufacturing,70,2922678,803,1
13105,Elbert County,GA,2024,31-33,Manufacturing,8429,641751033,1464,465
13107,Emanuel County,GA,2024,31-33,Manufacturing,6155,434048255,1356,296
13109,Evans County,GA,2024,31-33,Manufacturing,4236,274929770,1248,174
13111,Fannin County,GA,2024,31-33,Manufacturing,2671,158354759,1140,91
13113,Fayette County,GA,2024,31-33,Manufacturing,1461,78412207,1032,40
13115,Floyd County,GA,2024,31-33,Manufacturing,606,29120583,924,12
13117,Forsyth County,GA,2024,31-33,Manufacturing,107,4540792,816,1
13119,Franklin County,GA,2024,31-33,Manufacturing,8731,670722778,1477,489
13121,Fulton County,GA,2024,31-33,Manufacturing,6413,456633689,1369,314
13123,Gilmer County,GA,2024,31-33,Manufacturing,4451,291931820,1261,187
13125,Glascock County,GA,2024,31-33,Manufacturing,2843,170498845,1153,99
13127,Glynn County,GA,2024,31-33,Manufacturing,1590,86424437,1045,44
13129,Gordon County,GA,2024,31-33,Manufacturing,692,33727062,937,14
13131,Grady County,GA,2024,31-33,Manufacturing,148,6382066,829,2
13133,Greene County,GA,2024,31-33,Manufacturing,9038,700495647,1490,514
13135,Gwinnett County,GA,2024,31-33,Manufacturing,6677,480003795,1382,333
13137,Habersham County,GA,2024,31-33,Manufacturing,4671,309559680,1274,200
13139,Hall County,GA,2024,31-33,Manufacturing,3020,183181771,1166,108
13141,Hancock County,GA,2024,31-33,Manufacturing,1724,94888534,1058,50
13143,Haralson County,GA,2024,31-33,Manufacturing,782,38649013,950,17
13145,Harris County,GA,2024,31-33,Manufacturing,196,8586138,842,3
