event_date,event_name,device_category,traffic_source,item_category,event_count,unique_users,total_revenue
2020-11-01,page_view,desktop,google,Electronics,78,28,0
2020-11-01,page_view,desktop,google,Books,82,26,0
2020-11-01,page_view,desktop,google,Beauty,41,14,0
2020-11-01,page_view,desktop,direct,Apparel,90,29,0
2020-11-01,page_view,desktop,direct,Home,39,15,0
2020-11-01,page_view,desktop,social,Apparel,78,25,0
2020-11-01,page_view,desktop,social,Beauty,280,66,0
2020-11-01,page_view,desktop,social,Toys,27,10,0
2020-11-01,page_view,desktop,organic,Toys,14,5,0
2020-11-01,page_view,mobile,google,Apparel,70,20,0
2020-11-01,page_view,mobile,google,Electronics,165,60,0
2020-11-01,page_view,mobile,google,Sports,62,20,0
2020-11-01,page_view,mobile,google,Beauty,146,39,0
2020-11-01,page_view,mobile,google,Toys,73,28,0
2020-11-01,page_view,mobile,direct,Sports,9,2,0
2020-11-01,page_view,mobile,direct,Beauty,24,5,0
2020-11-01,page_view,mobile,social,Apparel,52,12,0
2020-11-01,page_view,mobile,social,Home,24,9,0
2020-11-01,page_view,mobile,social,Sports,18,7,0
2020-11-01,page_view,mobile,organic,Electronics,73,26,0
2020-11-01,page_view,mobile,organic,Books,70,18,0
2020-11-01,page_view,mobile,email,Beauty,36,13,0
2020-11-01,page_view,tablet,google,Electronics,188,52,0
2020-11-01,page_view,tablet,direct,Sports,235,50,0
2020-11-01,page_view,tablet,direct,Beauty,33,11,0
2020-11-01,page_view,tablet,email,Beauty,34,10,0
2020-11-01,view_item,desktop,google,Home,55,29,0
2020-11-01,view_item,desktop,google,Beauty,6,3,0
2020-11-01,view_item,desktop,direct,Apparel,15,6,0
2020-11-01,view_item,desktop,direct,Electronics,64,28,0
2020-11-01,view_item,desktop,direct,Home,16,6,0
2020-11-01,view_item,desktop,direct,Beauty,18,7,0
2020-11-01,view_item,desktop,social,Books,13,6,0
2020-11-01,view_item,desktop,organic,Home,59,28,0
2020-11-01,view_item,desktop,organic,Books,12,5,0
2020-11-01,view_item,mobile,google,Beauty,34,16,0
2020-11-01,view_item,mobile,google,Toys,20,8,0
2020-11-01,view_item,mobile,direct,Electronics,67,34,0
2020-11-01,view_item,mobile,direct,Books,15,7,0
2020-11-01,view_item,mobile,social,Toys,84,31,0
2020-11-01,view_item,mobile,organic,Apparel,12,4,0
2020-11-01,view_item,mobile,organic,Books,51,25,0
2020-11-01,view_item,mobile,organic,Toys,13,5,0
2020-11-01,view_item,mobile,email,Sports,17,8,0
2020-11-01,view_item,tablet,google,Books,187,89,0
2020-11-01,view_item,tablet,direct,Sports,13,5,0
2020-11-01,view_item,tablet,social,Home,19,9,0
2020-11-01,view_item,tablet,organic,Electronics,29,16,0
2020-11-01,add_to_cart,desktop,google,Apparel,12,7,0
2020-11-01,add_to_cart,desktop,google,Home,36,23,0
2020-11-01,add_to_cart,desktop,google,Books,17,10,0
2020-11-01,add_to_cart,mobile,google,Apparel,24,12,0
2020-11-01,add_to_cart,mobile,google,Sports,74,42,0
2020-11-01,add_to_cart,mobile,direct,Apparel,33,19,0
2020-11-01,add_to_cart,mobile,direct,Beauty,3,2,0
2020-11-01,add_to_cart,mobile,organic,Apparel,55,28,0
2020-11-01,add_to_cart,mobile,organic,Electronics,5,3,0
2020-11-01,add_to_cart,tablet,google,Electronics,69,36,0
2020-11-01,add_to_cart,tablet,social,Electronics,10,5,0
2020-11-01,add_to_cart,tablet,organic,Books,10,6,0
2020-11-01,begin_checkout,desktop,direct,Home,8,5,0
2020-11-01,begin_checkout,desktop,organic,Home,8,5,0
2020-11-01,purchase,desktop,direct,Toys,7,6,158.31
2020-11-01,purchase,desktop,social,Toys,6,5,193.41
2020-11-01,purchase,desktop,organic,Books,5,4,88.3
2020-11-02,page_view,desktop,google,Apparel,73,17,0
2020-11-02,page_view,desktop,google,Electronics,40,15,0
2020-11-02,page_view,desktop,google,Home,119,25,0
2020-11-02,page_view,desktop,google,Sports,11,3,0
2020-11-02,page_view,desktop,google,Books,368,103,0
2020-11-02,page_view,desktop,google,Beauty,159,58,0
2020-11-02,page_view,desktop,google,Toys,266,106,0
2020-11-02,page_view,desktop,direct,Apparel,104,35,0
2020-11-02,page_view,desktop,direct,Electronics,52,20,0
2020-11-02,page_view,desktop,direct,Sports,30,12,0
2020-11-02,page_view,desktop,direct,Beauty,25,5,0
2020-11-02,page_view,desktop,direct,Toys,37,10,0
2020-11-02,page_view,desktop,social,Electronics,525,190,0
2020-11-02,page_view,desktop,social,Sports,56,15,0
2020-11-02,page_view,desktop,social,Beauty,63,17,0
2020-11-02,page_view,desktop,social,Toys,11,4,0
2020-11-02,page_view,desktop,organic,Apparel,58,16,0
