year,month,pickup_zone,dropoff_zone,trip_count,avg_trip_distance_miles,avg_total_amount,avg_passengers,total_revenue,avg_trip_duration_min
2024,1,Upper East Side South,Upper East Side North,21073,1.06,15.74,1.33,331697.77,7.84
2024,1,Upper East Side North,Upper East Side South,18577,1.05,16.08,1.33,298654.2,8.7
2024,1,Upper East Side North,Upper East Side North,15128,0.63,13.63,1.34,206147.17,5.49
2024,1,Upper East Side South,Upper East Side South,14107,0.63,14.3,1.33,201775.82,6.25
2024,1,Midtown Center,Upper East Side South,9915,1.08,17.07,1.3,169267.71,9.24
2024,1,Lincoln Square East,Upper West Side South,8588,0.99,14.98,1.36,128651.76,7.5
2024,1,Upper East Side South,Midtown Center,8487,1.06,16.46,1.3,139693.8,9.29
2024,1,Midtown Center,Upper East Side North,8379,1.95,21.88,1.3,183343.16,13.9
2024,1,Upper West Side South,Lincoln Square East,8226,0.88,14.53,1.35,119554.42,6.84
2024,1,Upper West Side South,Upper West Side North,8050,0.84,13.79,1.35,111029.94,5.88
2024,1,Lenox Hill West,Upper East Side North,7456,1.08,15.94,1.31,118868.6,8.31
2024,1,Upper East Side South,Midtown East,7309,0.98,16.08,1.3,117546.85,8.51
2024,1,N/A,N/A,7052,2.82,27.1,1.5,191107.57,15.26
2024,1,Penn Station/Madison Sq West,Times Sq/Theatre District,6812,1.06,18.86,1.44,128487,13.03
2024,1,Lincoln Square East,Upper West Side North,6771,1.5,17.43,1.37,117987.06,8.65
2024,1,Upper East Side North,Midtown Center,6753,1.92,21.37,1.26,144304.64,13.85
2024,1,Upper West Side North,Upper West Side South,6590,0.79,13.63,1.34,89833.25,5.76
2024,1,Upper East Side North,Lenox Hill West,6588,1.11,16.58,1.35,109211.84,9.91
2024,1,Upper East Side North,Upper West Side South,6449,1.43,17.29,1.33,111479.89,9.01
2024,1,Upper East Side South,Lenox Hill West,6396,0.77,14.56,1.3,93117.85,7.08
2024,1,Yorkville West,Upper East Side North,6276,0.68,13.13,1.32,82397.56,5.27
2024,1,JFK Airport,JFK Airport,6086,1.72,42.25,1.48,257139.03,7.07
2024,1,Midtown East,Upper East Side South,6064,1,16.6,1.28,100681.64,9.8
2024,1,Upper East Side North,Upper West Side North,6062,1.41,17.23,1.31,104436.19,9.06
2024,1,Yorkville West,Lenox Hill West,6025,0.93,14.04,1.36,84586.22,6
2024,1,Penn Station/Madison Sq West,Midtown Center,5830,1.26,19.42,1.31,113243.66,12.81
2024,1,JFK Airport,Outside of NYC,5792,20.62,123.49,1.47,715276.89,38.3
2024,1,Lincoln Square East,Upper East Side South,5792,1.33,17.43,1.35,100937.43,10.3
2024,1,Upper East Side South,Lincoln Square East,5785,1.29,17.77,1.31,102779.17,9.39
2024,1,Lenox Hill East,Upper East Side North,5767,1.31,17.76,1.29,102415.14,10.97
2024,1,Lenox Hill West,Upper East Side South,5766,0.73,14.23,1.29,82072.78,6.54
2024,1,Upper West Side South,Upper East Side North,5740,1.47,17.71,1.36,101662.36,9.64
2024,1,JFK Airport,Times Sq/Theatre District,5713,18.02,94.12,1.76,537678.49,51.59
2024,1,Lincoln Square East,Upper East Side North,5661,2.09,21.09,1.38,119383.44,12.43
2024,1,Times Sq/Theatre District,Penn Station/Madison Sq West,5658,1,16.52,1.5,93476.53,10.13
2024,1,Midtown Center,Midtown Center,5626,0.58,17.6,1.35,99026.93,6.29
2024,1,Upper East Side South,Yorkville West,5460,1.19,16.49,1.34,90038.25,8.45
2024,1,Yorkville East,Upper East Side North,5407,0.88,14.57,1.36,78780.9,7.34
2024,1,Upper East Side South,Lenox Hill East,5383,0.91,15.74,1.29,84741.58,9.26
2024,1,Upper East Side North,Yorkville East,5342,0.89,15.1,1.37,80665.73,7.95
2024,1,LaGuardia Airport,Times Sq/Theatre District,5341,10.34,75.88,1.48,405279.52,35.1
2024,1,Upper West Side South,Upper West Side South,5339,0.61,14.86,1.35,79359.39,4.75
2024,1,Upper East Side North,Yorkville West,5300,0.7,13.65,1.35,72359.92,5.72
