month,country,stock_code,description,total_quantity,total_revenue,num_transactions,num_customers
2009-12,Australia,20717,STRAWBERRY SHOPPER BAG,10,12.5,1,0
2009-12,Australia,20727,LUNCH BAG  BLACK SKULL.,10,16.5,1,0
2009-12,Australia,20728,LUNCH BAG CARS BLUE,10,16.5,1,0
2009-12,Australia,20730,STRAWBERRY CANDY BAG,10,12.5,1,0
2009-12,Australia,21871,SAVE THE PLANET MUG,12,15,1,0
2009-12,Australia,21895,POTTING SHED SOW 'N' GROW SET,4,17,1,0
2009-12,Australia,21896,POTTING SHED TWINE,6,12.6,1,0
2009-12,Australia,22083,PAPER CHAIN KIT RETRO SPOT,12,35.4,1,0
2009-12,Australia,22087,PAPER BUNTING WHITE LACE,12,35.4,1,0
2009-12,Australia,22090,PAPER BUNTING RETRO SPOTS,12,35.4,1,0
2009-12,Australia,22355,"CHARLOTTE BAG , SUKI DESIGN",20,17,1,0
2009-12,Australia,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,15,1,0
2009-12,Australia,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,20.4,1,0
2009-12,Australia,85206A,CREAM FELT EASTER EGG BASKET,6,9.9,1,0
2009-12,Austria,15056BL,EDWARDIAN PARASOL BLACK,60,297,1,0
2009-12,Austria,15056N,EDWARDIAN PARASOL NATURAL,60,297,1,0
2009-12,Austria,15056P,EDWARDIAN PARASOL PINK,30,178.5,1,0
2009-12,Austria,20674,GREEN SPOTTY BOWL,16,20,1,0
2009-12,Austria,20675,BLUE SPOTTY BOWL,16,20,1,0
2009-12,Austria,20676,RED SPOTTY BOWL,16,20,1,0
2009-12,Austria,20677,PINK SPOTTY BOWL,16,20,1,0
2009-12,Austria,20679,EDWARDIAN PARASOL RED,60,297,1,0
2009-12,Austria,20750,RED/WHITE DOT MINI CASES,2,15.9,1,0
2009-12,Austria,21217,RED SPOTTY ROUND CAKE TINS,2,19.9,1,0
2009-12,Austria,21238,RED SPOTTY CUP,16,13.6,1,0
2009-12,Austria,21239,PINK  SPOTTY CUP,16,13.6,1,0
2009-12,Austria,21240,BLUE  SPOTTY CUP,16,13.6,1,0
2009-12,Austria,21241,GREEN SPOTTY CUP,16,13.6,1,0
2009-12,Austria,21242,RED SPOTTY PLATE,16,27.04,1,0
2009-12,Austria,21243,PINK  SPOTTY PLATE,16,27.04,1,0
2009-12,Austria,21244,BLUE  SPOTTY PLATE,16,27.04,1,0
